,< 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,> 100,genero,UF,data
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,GO,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,GO,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MA,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MA,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MT,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MT,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,M,MS,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,F,MS,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,M,MG,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,F,MG,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PA,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PA,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PB,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PB,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,M,PR,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,F,PR,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PE,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PE,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PI,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PI,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,M,RJ,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,F,RJ,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RN,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RN,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RS,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RS,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RO,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RO,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RR,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RR,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SC,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SC,2020-03-22
M,0.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,4.0,1.0,0.0,M,SP,2020-03-22
F,0.0,0.0,0.0,0.0,,,2.0,1.0,2.0,2.0,0.0,F,SP,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SE,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SE,2020-03-22
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,TO,2020-03-22
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,TO,2020-03-22
M,0.0,0.0,0.0,1.0,,1.0,5.0,4.0,5.0,,0.0,M,all,2020-03-23
F,0.0,0.0,0.0,,2.0,,6.0,3.0,7.0,1.0,0.0,F,all,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AC,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AC,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,M,AL,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,F,AL,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AP,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AP,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AM,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AM,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,M,BA,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,F,BA,2020-03-23
M,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,M,CE,2020-03-23
F,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,F,CE,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,DF,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,DF,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,ES,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,ES,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,GO,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,GO,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MA,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MA,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MT,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MT,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MS,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MS,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MG,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MG,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PA,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PA,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PB,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PB,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PR,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PR,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M,PE,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,F,PE,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PI,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PI,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,M,RJ,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,F,RJ,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,M,RN,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,F,RN,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RS,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RS,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RO,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RO,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RR,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RR,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,M,SC,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,F,SC,2020-03-23
M,0.0,0.0,0.0,1.0,,0.0,4.0,4.0,5.0,,0.0,M,SP,2020-03-23
F,0.0,0.0,0.0,,1.0,0.0,3.0,1.0,6.0,1.0,0.0,F,SP,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SE,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SE,2020-03-23
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,TO,2020-03-23
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,TO,2020-03-23
M,0.0,0.0,,1.0,2.0,5.0,3.0,8.0,6.0,7.0,0.0,M,all,2020-03-24
F,0.0,0.0,1.0,3.0,,3.0,6.0,,6.0,2.0,0.0,F,all,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AC,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AC,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AL,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AL,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AP,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AP,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M,AM,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,F,AM,2020-03-24
M,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,BA,2020-03-24
F,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,BA,2020-03-24
M,0.0,0.0,0.0,,1.0,,,0.0,1.0,0.0,0.0,M,CE,2020-03-24
F,0.0,0.0,0.0,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,F,CE,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,M,DF,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,F,DF,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,ES,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,ES,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,GO,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,GO,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MA,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MA,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MT,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MT,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MS,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MS,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,M,MG,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,F,MG,2020-03-24
M,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PA,2020-03-24
F,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,F,PA,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PB,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PB,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PR,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PR,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PE,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PE,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M,PI,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,F,PI,2020-03-24
M,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RJ,2020-03-24
F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RJ,2020-03-24
M,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,M,RN,2020-03-24
F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,F,RN,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,M,RS,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,F,RS,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RO,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RO,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RR,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RR,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SC,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SC,2020-03-24
M,0.0,0.0,0.0,1.0,0.0,3.0,3.0,6.0,5.0,7.0,0.0,M,SP,2020-03-24
F,0.0,0.0,0.0,,0.0,2.0,4.0,,4.0,2.0,0.0,F,SP,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SE,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SE,2020-03-24
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,TO,2020-03-24
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,TO,2020-03-24
M,2.0,1.0,0.0,1.0,3.0,2.0,9.0,8.0,2.0,2.0,0.0,M,all,2020-03-25
F,,,0.0,,2.0,1.0,2.0,8.0,6.0,,0.0,F,all,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AC,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AC,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AL,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AL,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AP,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AP,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AM,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AM,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,M,BA,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,F,BA,2020-03-25
M,0.0,0.0,0.0,0.0,,0.0,1.0,,0.0,1.0,0.0,M,CE,2020-03-25
F,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,F,CE,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,DF,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,DF,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,ES,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,ES,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,GO,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,GO,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MA,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MA,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MT,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MT,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MS,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MS,2020-03-25
M,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,M,MG,2020-03-25
F,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,F,MG,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PA,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PA,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PB,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PB,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PR,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PR,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,M,PE,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,F,PE,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PI,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PI,2020-03-25
M,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,M,RJ,2020-03-25
F,,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,F,RJ,2020-03-25
M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RN,2020-03-25
F,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,F,RN,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RS,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RS,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,M,RO,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,F,RO,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,RR,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,RR,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,M,SC,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,F,SC,2020-03-25
M,0.0,0.0,0.0,1.0,2.0,2.0,7.0,6.0,,1.0,0.0,M,SP,2020-03-25
F,0.0,0.0,0.0,,1.0,,1.0,4.0,4.0,,0.0,F,SP,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,SE,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,SE,2020-03-25
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,TO,2020-03-25
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,TO,2020-03-25
M,0.0,1.0,,3.0,1.0,4.0,8.0,10.0,3.0,4.0,0.0,M,all,2020-03-26
F,0.0,,1.0,3.0,,2.0,4.0,9.0,9.0,4.0,0.0,F,all,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AC,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AC,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AL,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AL,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AP,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AP,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,AM,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,AM,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,M,BA,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,F,BA,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,M,CE,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,F,CE,2020-03-26
M,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,M,DF,2020-03-26
F,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,F,DF,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,ES,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,ES,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,GO,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,GO,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MA,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MA,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MT,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MT,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,MS,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,MS,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,M,MG,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,F,MG,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PA,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PA,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PB,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PB,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PR,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PR,2020-03-26
M,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,M,PE,2020-03-26
F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,F,PE,2020-03-26
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,PI,2020-03-26
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,PI,2020-03-26
